# 玉米种植完全指南

## 一、玉米品种与分类

### 1. 按用途分类
- 籽粒玉米：主要生产粮食，用于食用、饲料和工业加工
- 鲜食玉米：甜玉米、糯玉米，采收鲜穗直接食用
- 青贮玉米：全株收获，用于制作青贮饲料
- 爆裂玉米：专门用于制作爆米花

### 2. 按生育期分类
- 早熟品种：生育期85-100天，适合北方地区或复种
- 中熟品种：生育期100-120天，适应性广
- 晚熟品种：生育期120-150天，产量高，适合光热充足地区

### 3. 按籽粒类型分类
- 马齿型：籽粒扁平，顶部凹陷，产量高
- 硬粒型：籽粒圆形，顶部光滑，品质好
- 半马齿型：介于两者之间
- 糯质型：籽粒不透明，支链淀粉含量高
- 甜质型：含糖量高，鲜食为主

## 二、播种技术

### 1. 播种时间
- 春玉米：东北、华北、西北地区4月中旬至5月上旬播种
- 夏玉米：黄淮海地区6月上旬至中旬（小麦收获后立即播种）
- 西南春玉米：3月下旬至4月上旬
- 播种温度要求：5-10厘米土层温度稳定在10-12℃以上

### 2. 播种密度
- 行距：一般60厘米（等行距）或80+40厘米（宽窄行）
- 株距：根据品种特性和地力，25-35厘米
- 密度范围：每亩3500-5500株
  * 稀植大穗型：3500-4000株/亩
  * 耐密型：4500-5500株/亩
  * 一般品种：4000-4500株/亩

### 3. 播种深度
- 一般播种深度：3-5厘米
- 墒情好时宜浅（3厘米），墒情差时宜深（5-6厘米）
- 沙土地宜深，粘土地宜浅
- 最深不超过8厘米，过深易造成出苗困难

### 4. 播种方式
- 精量播种：单粒播种，省种省工
- 穴播：每穴2-3粒，需间苗
- 条播：连续播种，需间苗
- 免耕播种：夏玉米区常用，保护性耕作

## 三、施肥技术

### 1. 需肥规律
- 每生产100公斤玉米籽粒需吸收：
  * 氮(N)：2.5-3.0公斤
  * 磷(P2O5)：1.0-1.5公斤
  * 钾(K2O)：2.0-2.5公斤
- 氮磷钾比例约为：1:0.4:0.8
- 需肥高峰期：拔节期至抽穗期

### 2. 基肥施用
- 有机肥：每亩2000-3000公斤腐熟农家肥
- 化肥：复合肥(15-15-15)每亩40-50公斤
- 施肥深度：10-15厘米
- 注意事项：肥料与种子隔离5-10厘米，防止烧种

### 3. 追肥技术（"一底三追"法）
- 苗期（5-6叶）：追施氮肥总量的20%，促进根系和幼苗生长
- 拔节期（10-12叶）：追施氮肥总量的30%，促进茎秆生长
- 大喇叭口期（12-14叶）：追施氮肥总量的50%，促进穗分化
- 推荐采用水肥一体化技术，提高肥料利用率

### 4. 微量元素补充
- 缺锌地块：基施硫酸锌1-2公斤/亩，或叶面喷施0.1-0.2%硫酸锌
- 叶面喷施：磷酸二氢钾0.2-0.3%溶液，在拔节期和灌浆期各喷一次
- 硼肥：在抽穗期喷施0.1-0.2%硼砂溶液，促进授粉受精

## 四、灌溉与水分管理

### 1. 需水规律
- 全生育期需水量：350-450毫米
- 各阶段需水比例：
  * 苗期：10-15%（需水较少，可适当蹲苗）
  * 拔节-抽穗期：40-50%（需水高峰期，关键期）
  * 灌浆期：30-35%（需水较多）
  * 成熟期：5-10%（需水较少）

### 2. 关键灌溉时期（"四水"管理）
- 播种水：保证出苗整齐，播种前浇足底墒水
- 拔节水：拔节期灌溉，促进茎秆生长和穗分化
- 抽穗水：抽穗开花期灌溉，保证授粉受精
- 灌浆水：灌浆期灌溉，促进籽粒灌浆，增加粒重

### 3. 节水灌溉技术
- 滴灌：节水40-50%，增产10-20%，可配合水肥一体化
- 喷灌：节水30%，省工省力，适合规模化种植
- 覆膜种植：保水保墒，减少蒸发，提高地温
- 秸秆覆盖：减少土壤蒸发，抑制杂草

